server,payload_size,rtt_min,rtt_max,rtt_avg,rtt_std
nyc.speedtest.clouvider.net,890,135.946,153.754,143.421,6.469
nyc.speedtest.clouvider.net,900,128.722,203.196,153.778,29.314
nyc.speedtest.clouvider.net,910,135.177,475.73,280.848,147.918
nyc.speedtest.clouvider.net,920,143.865,382.179,305.064,96.114
nyc.speedtest.clouvider.net,930,126.411,325.808,202.02,80.916
nyc.speedtest.clouvider.net,940,157.859,479.064,304.021,116.271
nyc.speedtest.clouvider.net,950,135.572,371.809,218.849,91.99
nyc.speedtest.clouvider.net,960,134.462,147.318,140.891,4.551
nyc.speedtest.clouvider.net,970,127.574,181.62,153.104,19.802
nyc.speedtest.clouvider.net,980,131.013,162.1,146.642,15.139
nyc.speedtest.clouvider.net,990,135.408,147.524,140.99,4.482
nyc.speedtest.clouvider.net,1000,130.713,168.235,143.341,14.699
nyc.speedtest.clouvider.net,1010,141.755,183.166,158.156,16.39
nyc.speedtest.clouvider.net,1020,129.905,170.823,151.136,18.682
nyc.speedtest.clouvider.net,1030,141.634,183.762,162.341,19.673
nyc.speedtest.clouvider.net,1040,138.648,189.056,157.46,18.949
nyc.speedtest.clouvider.net,1050,151.187,341.715,209.878,77.993
nyc.speedtest.clouvider.net,1060,144.726,161.663,153.059,8.063
nyc.speedtest.clouvider.net,1070,125.35,203.58,160.603,31.187
nyc.speedtest.clouvider.net,1080,135.971,184.536,161.668,18.723
nyc.speedtest.clouvider.net,1090,137.033,185.293,155.684,18.0
nyc.speedtest.clouvider.net,1100,139.864,193.104,154.344,22.422
nyc.speedtest.clouvider.net,1110,131.981,191.174,158.498,23.846
nyc.speedtest.clouvider.net,1120,145.014,162.876,150.782,7.115
nyc.speedtest.clouvider.net,1130,139.819,191.966,157.859,20.138
nyc.speedtest.clouvider.net,1140,128.331,151.997,140.893,8.674
nyc.speedtest.clouvider.net,1150,138.733,209.995,168.028,25.979
nyc.speedtest.clouvider.net,1160,134.539,190.046,158.15,23.619
nyc.speedtest.clouvider.net,1170,144.086,221.781,182.894,27.481
nyc.speedtest.clouvider.net,1180,140.676,189.115,161.167,17.806
nyc.speedtest.clouvider.net,1190,130.546,191.032,165.413,25.289
nyc.speedtest.clouvider.net,1200,151.126,193.704,164.437,17.208
nyc.speedtest.clouvider.net,1210,141.649,189.843,165.128,22.036
nyc.speedtest.clouvider.net,1220,137.503,186.642,156.152,18.431
nyc.speedtest.clouvider.net,1230,150.131,189.2,160.813,16.412
nyc.speedtest.clouvider.net,1240,150.141,190.746,170.308,19.02
nyc.speedtest.clouvider.net,1250,138.187,192.144,157.279,20.73
nyc.speedtest.clouvider.net,1260,129.02,189.32,152.692,23.515
nyc.speedtest.clouvider.net,1270,141.7,164.48,148.869,9.115
nyc.speedtest.clouvider.net,1280,147.879,192.036,167.617,18.925
nyc.speedtest.clouvider.net,1290,153.686,299.374,208.255,54.684
nyc.speedtest.clouvider.net,1300,132.546,190.216,153.96,21.75
nyc.speedtest.clouvider.net,1310,130.786,155.232,147.396,9.698
nyc.speedtest.clouvider.net,1320,136.588,191.347,165.327,25.469
nyc.speedtest.clouvider.net,1330,151.036,187.694,169.57,15.176
nyc.speedtest.clouvider.net,1340,128.859,189.768,146.936,24.884
nyc.speedtest.clouvider.net,1350,127.744,167.439,141.08,15.62
nyc.speedtest.clouvider.net,1360,134.64,198.996,160.006,23.897
nyc.speedtest.clouvider.net,1370,131.776,184.585,149.567,20.583
nyc.speedtest.clouvider.net,1380,153.163,184.401,166.261,11.55
nyc.speedtest.clouvider.net,1390,137.781,174.429,148.673,14.943
nyc.speedtest.clouvider.net,1400,146.014,202.42,178.885,21.257
nyc.speedtest.clouvider.net,1410,137.788,196.049,167.978,23.129
nyc.speedtest.clouvider.net,1420,143.261,200.729,168.404,20.734
nyc.speedtest.clouvider.net,1430,125.202,150.483,140.735,9.608
nyc.speedtest.clouvider.net,1440,131.197,172.097,153.112,18.011
nyc.speedtest.clouvider.net,1450,147.675,199.214,173.885,23.683
nyc.speedtest.clouvider.net,1460,142.096,184.273,163.178,19.271
nyc.speedtest.clouvider.net,1470,121.329,145.36,134.082,8.751
lon.speedtest.clouvider.net,20,71.426,110.168,90.9,18.169
lon.speedtest.clouvider.net,30,68.162,110.043,89.109,19.337
lon.speedtest.clouvider.net,40,70.233,111.634,90.964,19.402
lon.speedtest.clouvider.net,50,69.408,110.906,90.309,19.556
lon.speedtest.clouvider.net,60,47.128,110.953,81.615,25.089
lon.speedtest.clouvider.net,70,48.105,78.337,60.709,11.938
lon.speedtest.clouvider.net,80,54.609,92.989,68.066,15.124
lon.speedtest.clouvider.net,90,61.564,73.513,67.864,4.899
lon.speedtest.clouvider.net,100,45.117,114.591,77.42,24.708
lon.speedtest.clouvider.net,110,63.693,112.558,89.332,22.092
lon.speedtest.clouvider.net,120,71.078,152.088,111.589,28.644
lon.speedtest.clouvider.net,130,47.731,87.341,68.999,14.142
lon.speedtest.clouvider.net,140,50.214,126.476,81.967,29.96
lon.speedtest.clouvider.net,150,68.526,107.028,82.419,14.971
lon.speedtest.clouvider.net,160,57.226,110.975,84.241,21.544
lon.speedtest.clouvider.net,170,73.577,117.901,88.658,17.205
lon.speedtest.clouvider.net,180,58.752,111.021,75.449,21.201
lon.speedtest.clouvider.net,190,48.977,77.49,63.349,12.734
lon.speedtest.clouvider.net,200,48.678,107.951,71.924,22.027
lon.speedtest.clouvider.net,210,72.314,112.274,90.065,18.007
lon.speedtest.clouvider.net,220,51.583,83.176,67.802,11.649
lon.speedtest.clouvider.net,230,51.613,86.428,71.318,12.534
lon.speedtest.clouvider.net,240,57.474,107.745,78.999,18.657
lon.speedtest.clouvider.net,250,49.21,111.105,84.433,26.238
lon.speedtest.clouvider.net,260,69.08,143.183,103.064,27.534
lon.speedtest.clouvider.net,270,52.691,168.78,84.467,48.832
lon.speedtest.clouvider.net,280,65.616,107.563,86.271,18.896
lon.speedtest.clouvider.net,290,55.525,86.525,69.308,11.66
lon.speedtest.clouvider.net,300,53.598,76.755,68.599,8.935
lon.speedtest.clouvider.net,310,53.387,111.516,84.364,27.018
lon.speedtest.clouvider.net,320,62.428,72.261,67.933,3.526
lon.speedtest.clouvider.net,330,67.305,120.842,89.622,22.022
lon.speedtest.clouvider.net,340,69.757,111.229,85.563,16.481
lon.speedtest.clouvider.net,350,49.884,126.649,84.379,27.976
lon.speedtest.clouvider.net,360,69.268,110.803,90.054,19.38
lon.speedtest.clouvider.net,370,67.454,81.132,73.416,4.916
lon.speedtest.clouvider.net,380,54.704,87.619,69.883,12.469
lon.speedtest.clouvider.net,390,62.911,111.419,83.334,17.572
lon.speedtest.clouvider.net,400,60.348,102.084,80.409,19.965
lon.speedtest.clouvider.net,410,52.871,128.647,83.321,27.916
lon.speedtest.clouvider.net,420,55.821,129.062,84.26,28.461
lon.speedtest.clouvider.net,430,54.955,112.515,74.248,22.941
lon.speedtest.clouvider.net,440,59.357,127.853,86.859,25.32
lon.speedtest.clouvider.net,450,64.065,119.031,90.883,23.165
lon.speedtest.clouvider.net,460,69.588,107.532,85.312,15.455
lon.speedtest.clouvider.net,470,53.082,110.827,77.681,23.652
lon.speedtest.clouvider.net,480,54.786,90.448,74.267,12.917
lon.speedtest.clouvider.net,490,54.18,121.969,83.484,24.433
lon.speedtest.clouvider.net,500,46.546,71.557,58.278,9.32
lon.speedtest.clouvider.net,510,52.238,118.983,84.125,23.916
lon.speedtest.clouvider.net,520,56.958,101.625,74.852,16.459
lon.speedtest.clouvider.net,530,59.847,104.84,76.281,18.112
lon.speedtest.clouvider.net,540,57.408,95.399,75.47,13.536
lon.speedtest.clouvider.net,550,53.268,145.978,82.059,37.247
lon.speedtest.clouvider.net,560,69.472,110.519,83.215,16.286
lon.speedtest.clouvider.net,570,91.144,138.175,113.681,18.948
lon.speedtest.clouvider.net,580,70.743,119.823,83.766,20.826
lon.speedtest.clouvider.net,590,52.39,116.452,76.063,24.15
lon.speedtest.clouvider.net,600,49.033,116.875,77.351,25.022
lon.speedtest.clouvider.net,610,53.074,120.821,80.822,24.734
lon.speedtest.clouvider.net,620,56.556,110.643,86.564,23.646
lon.speedtest.clouvider.net,630,61.522,143.114,96.215,32.949
lon.speedtest.clouvider.net,640,63.222,152.908,90.557,36.31
lon.speedtest.clouvider.net,650,69.02,110.855,89.922,19.498
lon.speedtest.clouvider.net,660,62.176,115.144,79.554,20.862
lon.speedtest.clouvider.net,670,64.193,102.3,88.146,14.995
lon.speedtest.clouvider.net,680,72.345,111.089,91.089,18.407
lon.speedtest.clouvider.net,690,55.589,108.04,74.045,20.47
lon.speedtest.clouvider.net,700,52.647,110.899,77.186,21.102
lon.speedtest.clouvider.net,710,48.558,125.869,86.411,27.346
lon.speedtest.clouvider.net,720,71.807,110.713,83.43,15.974
lon.speedtest.clouvider.net,730,60.56,82.799,76.504,9.273
lon.speedtest.clouvider.net,740,49.623,62.592,56.368,4.762
lon.speedtest.clouvider.net,750,48.396,59.574,55.483,4.245
lon.speedtest.clouvider.net,760,56.595,74.594,64.27,7.556
lon.speedtest.clouvider.net,770,59.049,69.315,63.537,4.409
lon.speedtest.clouvider.net,780,55.182,64.588,61.499,3.704
lon.speedtest.clouvider.net,790,55.425,95.559,67.178,16.525
lon.speedtest.clouvider.net,800,48.391,59.695,55.922,4.477
lon.speedtest.clouvider.net,810,47.371,92.367,69.201,16.854
lon.speedtest.clouvider.net,820,49.564,95.491,72.525,21.119
lon.speedtest.clouvider.net,830,68.087,107.092,81.317,15.188
lon.speedtest.clouvider.net,840,66.66,138.45,95.519,27.249
lon.speedtest.clouvider.net,850,51.51,93.452,75.784,16.889
lon.speedtest.clouvider.net,860,58.495,102.898,76.203,17.697
lon.speedtest.clouvider.net,870,54.93,96.522,75.043,19.569
lon.speedtest.clouvider.net,880,63.377,107.54,82.491,19.067
lon.speedtest.clouvider.net,890,53.133,119.917,76.497,25.995
lon.speedtest.clouvider.net,900,54.438,160.392,89.521,42.265
lon.speedtest.clouvider.net,910,57.258,95.657,72.674,16.229
lon.speedtest.clouvider.net,920,54.779,78.44,67.966,8.761
lon.speedtest.clouvider.net,930,57.021,94.906,72.766,15.196
lon.speedtest.clouvider.net,940,67.683,105.432,84.948,17.204
lon.speedtest.clouvider.net,950,54.336,112.2,78.069,21.133
lon.speedtest.clouvider.net,960,62.103,89.189,81.981,11.482
lon.speedtest.clouvider.net,970,57.589,107.527,77.874,18.29
lon.speedtest.clouvider.net,980,68.594,109.727,89.315,16.143
lon.speedtest.clouvider.net,990,48.837,114.715,82.357,23.766
lon.speedtest.clouvider.net,1000,56.162,147.333,82.942,37.709
lon.speedtest.clouvider.net,1010,66.385,107.961,86.685,19.698
lon.speedtest.clouvider.net,1020,64.479,103.564,76.996,15.54
lon.speedtest.clouvider.net,1030,69.165,110.858,87.641,17.475
lon.speedtest.clouvider.net,1040,72.368,124.708,88.965,20.85
lon.speedtest.clouvider.net,1050,63.047,102.896,77.32,16.156
lon.speedtest.clouvider.net,1060,68.633,110.417,89.601,19.131
