server,payload_size,rtt_min,rtt_max,rtt_avg,rtt_std
nyc.speedtest.clouvider.net,800,96.16,96.433,96.247,0.108
nyc.speedtest.clouvider.net,810,96.118,96.194,96.151,0.028
nyc.speedtest.clouvider.net,820,96.145,96.303,96.192,0.064
nyc.speedtest.clouvider.net,830,96.155,96.474,96.253,0.13
nyc.speedtest.clouvider.net,840,96.125,96.202,96.17,0.028
nyc.speedtest.clouvider.net,850,96.175,96.298,96.229,0.044
nyc.speedtest.clouvider.net,860,96.143,96.347,96.236,0.074
nyc.speedtest.clouvider.net,870,96.128,96.28,96.2,0.056
nyc.speedtest.clouvider.net,880,96.108,96.2,96.143,0.036
nyc.speedtest.clouvider.net,890,96.117,96.265,96.195,0.052
nyc.speedtest.clouvider.net,900,96.099,96.184,96.148,0.03
nyc.speedtest.clouvider.net,910,96.144,96.555,96.306,0.163
nyc.speedtest.clouvider.net,920,96.088,96.327,96.191,0.086
nyc.speedtest.clouvider.net,930,96.169,96.523,96.281,0.143
nyc.speedtest.clouvider.net,940,96.168,96.212,96.193,0.017
nyc.speedtest.clouvider.net,950,96.181,96.193,96.188,0.004
nyc.speedtest.clouvider.net,960,96.14,96.2,96.184,0.025
nyc.speedtest.clouvider.net,970,96.071,96.414,96.246,0.126
nyc.speedtest.clouvider.net,980,96.126,96.316,96.203,0.069
nyc.speedtest.clouvider.net,990,96.146,96.393,96.319,0.101
nyc.speedtest.clouvider.net,1000,96.145,96.391,96.219,0.1
nyc.speedtest.clouvider.net,1010,96.137,96.386,96.28,0.096
nyc.speedtest.clouvider.net,1020,96.075,96.214,96.145,0.055
nyc.speedtest.clouvider.net,1030,96.191,96.26,96.212,0.028
nyc.speedtest.clouvider.net,1040,96.14,96.251,96.196,0.039
nyc.speedtest.clouvider.net,1050,96.168,96.311,96.226,0.057
nyc.speedtest.clouvider.net,1060,96.17,96.562,96.331,0.153
nyc.speedtest.clouvider.net,1070,96.162,96.257,96.2,0.034
nyc.speedtest.clouvider.net,1080,96.147,96.204,96.175,0.02
nyc.speedtest.clouvider.net,1090,96.121,96.321,96.234,0.074
nyc.speedtest.clouvider.net,1100,96.092,96.28,96.189,0.067
nyc.speedtest.clouvider.net,1110,96.158,96.197,96.183,0.014
